S,K,ST,KA,KASJS
24.48,56.6,15.45,37.18,37.2
24.39,56.62,15.5,37.2,37.22
24.3,56.64,15.55,37.22,37.24
24.21,56.66,15.6,37.24,37.26
24.12,56.68,15.65,37.26,37.28
24.03,56.7,15.7,37.28,37.3
23.94,56.72,15.74,37.3,37.32
23.85,56.74,15.78,37.32,37.35
23.76,56.76,15.83,37.35,37.38
23.67,56.78,15.88,37.38,37.4
23.58,56.8,15.92,37.4,37.42
23.49,56.82,15.96,37.42,37.45
23.4,56.84,16.01,37.45,37.48
23.31,56.86,16.06,37.48,37.5
23.22,56.88,16.1,37.5,37.52
23.13,56.9,16.15,37.52,37.55
23.04,56.92,16.19,37.55,37.57
22.95,56.94,16.24,37.57,37.6
22.86,56.96,16.28,37.6,37.62
22.77,56.98,16.33,37.62,37.65
22.68,57,16.37,37.65,37.67
22.58,57.02,16.42,37.67,37.7
22.49,57.04,16.46,37.7,37.72
22.4,57.06,16.51,37.72,37.75
22.3,57.08,16.55,37.75,37.78
22.2,57.1,16.6,37.78,37.8
22.11,57.12,16.64,37.8,37.82
22.02,57.14,16.69,37.82,37.85
21.92,57.16,16.73,37.85,37.88
21.83,57.18,16.77,37.88,37.9
21.73,57.2,16.82,37.9,37.92
21.64,57.22,16.87,37.92,37.95
21.54,57.24,16.91,37.95,37.98
21.44,57.26,16.95,37.98,38
21.35,57.27,17,38,37
20.16,57.46,16,37,36
19.43,57.1,16,36,36
18.77,56.95,15,36,35
19.97,56.8,14,35,37
22.06,55.97,14,37,37
22.06,55.97,14,37,40
33.93,42.94,17,40,40
33.93,42.94,17,40,39
36.41,35.63,21,39,41
34.54,49.72,22,41,40
36.18,48.38,22,40,40
36.18,48.38,22,40,40
34.11,45,25,40,40
30.7,47.4,25,40,39
27.75,49.96,24,39,41
25.78,53.82,23,41,40.5
25.34,54.17,22.25,40.5,40
24.9,54.52,21.5,40,39.5
24.46,54.87,20.75,39.5,39
24.02,55.22,20,39,38.5
23.58,55.57,19.25,38.5,38
23.13,55.92,18.5,38,37.5
22.68,56.28,17.75,37.5,37
22.24,56.63,17,37,36.67
20.65,60.75,16.33,36.67,36.34
19.06,64.88,15.66,36.34,36
17.47,69,15,36,38
20.36,60.24,15,38,36
25.7,54.67,15,36,38
29.74,50.03,16,38,39
34.62,43.66,18,39,39
37.36,39.1,21,39,39
33.92,41.89,23,39,38
33.51,42.12,23,38,40
33.62,42.93,24,40,39
32.1,43.63,24,39,39
32.18,45.99,24,39,39
28.35,48.68,23,39,39
26.01,51.34,23,39,38.67
25.07,51.91,22.11,38.67,38.34
24.13,52.48,21.22,38.34,38.01
23.19,53.05,20.33,38.01,37.67
22.25,53.62,19.44,37.67,37.34
21.31,54.19,18.55,37.34,37.01
20.36,54.76,17.66,37.01,36.67
19.42,55.34,16.77,36.67,36.34
18.48,55.92,15.88,36.34,36
17.53,56.49,15,36,37
17.1,55.03,14,37,36
16.36,55.75,13,36,36
16.01,55.15,12,36,36
17.2,55.08,12,36,36
23.37,52.8,12,36,36.08
23.49,52.81,12.15,36.08,36.15
23.61,52.82,12.3,36.15,36.22
23.73,52.83,12.45,36.22,36.3
23.85,52.84,12.6,36.3,36.38
23.97,52.85,12.75,36.38,36.45
24.09,52.86,12.9,36.45,36.53
24.21,52.87,13.05,36.53,36.6
24.33,52.88,13.2,36.6,36.68
24.45,52.89,13.35,36.68,36.75
24.57,52.9,13.5,36.75,36.83
24.69,52.91,13.65,36.83,36.9
24.81,52.92,13.8,36.9,36.98
24.93,52.93,13.95,36.98,37.05
25.05,52.94,14.1,37.05,37.12
25.17,52.95,14.25,37.12,37.2
25.29,52.96,14.4,37.2,37.28
25.41,52.97,14.55,37.28,37.35
25.53,52.98,14.7,37.35,37.43
25.64,52.99,14.85,37.43,37.5
25.76,53,15,37.5,37.58
25.88,53.01,15.15,37.58,37.65
25.99,53.02,15.3,37.65,37.72
26.1,53.03,15.45,37.72,37.8
26.22,53.04,15.6,37.8,37.88
26.33,53.05,15.75,37.88,37.95
26.45,53.06,15.9,37.95,38.03
26.56,53.07,16.05,38.03,38.1
26.68,53.08,16.2,38.1,38.18
26.8,53.09,16.35,38.18,38.25
26.91,53.1,16.5,38.25,38.33
27.02,53.11,16.65,38.33,38.4
27.14,53.12,16.8,38.4,38.48
27.26,53.13,16.95,38.48,38.55
27.37,53.14,17.1,38.55,38.62
27.48,53.15,17.25,38.62,38.7
27.6,53.16,17.4,38.7,38.78
27.72,53.17,17.55,38.78,38.85
27.83,53.18,17.7,38.85,38.93
27.94,53.2,17.85,38.93,39
28.06,53.21,18,39,39.08
28.17,53.22,18.15,39.08,39.15
28.29,53.24,18.3,39.15,39.22
28.4,53.26,18.45,39.22,39.3
28.52,53.27,18.6,39.3,39.38
28.64,53.28,18.75,39.38,39.45
28.75,53.3,18.9,39.45,39.53
28.86,53.32,19.05,39.53,39.6
28.98,53.33,19.2,39.6,39.68
29.1,53.34,19.35,39.68,39.75
29.21,53.36,19.5,39.75,39.83
29.32,53.38,19.65,39.83,39.9
29.44,53.39,19.8,39.9,39.98
29.56,53.4,19.95,39.98,40.05
