S,K,ST,KA,KASJS
24.8,52.8,18.62,44.32,44.26
24.69,52.66,18.5,44.26,44.2
24.58,52.52,18.38,44.2,44.13
24.48,52.39,18.25,44.13,44.06
24.38,52.26,18.12,44.06,44
24.27,52.12,18,44,43.5
23.34,53.83,17.5,43.5,43
22.4,55.54,17,43,45
22.61,55.79,16,45,44
25.37,55.68,16,44,45
29.25,51.94,17,45,47
33.2,46.91,18,47,47.5
33.68,46.58,20,47.5,48
34.17,46.26,22,48,47
34.01,48.81,23,47,47
34.58,50.39,24,47,49
34.22,47.85,24,49,49
32.82,49.82,24,49,49
31.41,51.78,24,49,50
30.64,53.35,24,50,49
29.4,54.86,23,49,48
28.74,55.81,23,48,47.88
28.57,56,22.62,47.88,47.75
28.4,56.19,22.25,47.75,47.62
28.23,56.38,21.88,47.62,47.5
28.06,56.57,21.5,47.5,47.38
27.88,56.76,21.12,47.38,47.25
27.71,56.94,20.75,47.25,47.12
27.54,57.12,20.38,47.12,47
27.36,57.31,20,47,47
27.06,56.83,20,47,47
26.07,57.88,19,47,47
27.05,57.06,19,47,47
27.37,58.32,19,47,47
28.82,56.6,19,47,48
29.32,56.08,20,48,49
28.73,56.63,20,49,48.5
29.3,55.92,20.5,48.5,48
29.86,55.22,21,48,49
30.84,55.24,21,49,48
31.55,53.53,22,48,50
32.43,52.53,22,50,51
32.21,51.65,23,51,51
34.81,45.01,23,51,49
29.7,52.48,22,49,51
28.4,55.92,22,51,50.92
28.43,55.84,21.92,50.92,50.84
28.46,55.76,21.84,50.84,50.76
28.49,55.68,21.76,50.76,50.68
28.52,55.6,21.68,50.68,50.6
28.55,55.52,21.6,50.6,50.52
28.58,55.44,21.52,50.52,50.44
28.61,55.36,21.44,50.44,50.36
28.64,55.28,21.36,50.36,50.28
28.66,55.2,21.28,50.28,50.2
28.69,55.12,21.2,50.2,50.12
28.72,55.04,21.12,50.12,50.04
28.74,54.96,21.04,50.04,49.96
28.76,54.88,20.96,49.96,49.88
28.79,54.81,20.88,49.88,49.8
28.82,54.74,20.8,49.8,49.72
28.84,54.66,20.72,49.72,49.64
28.86,54.58,20.64,49.64,49.56
28.89,54.51,20.56,49.56,49.48
28.92,54.43,20.48,49.48,49.4
28.94,54.36,20.4,49.4,49.32
28.96,54.28,20.32,49.32,49.24
28.99,54.21,20.24,49.24,49.16
29.01,54.14,20.16,49.16,49.08
29.04,54.06,20.08,49.08,49
29.06,53.98,20,49,48.92
29.09,53.91,19.92,48.92,48.84
29.12,53.83,19.84,48.84,48.76
29.14,53.76,19.76,48.76,48.68
29.16,53.68,19.68,48.68,48.6
29.19,53.61,19.6,48.6,48.52
29.22,53.54,19.53,48.52,48.45
29.24,53.46,19.45,48.45,48.38
29.26,53.38,19.38,48.38,48.3
29.29,53.31,19.3,48.3,48.22
29.32,53.24,19.23,48.22,48.15
29.34,53.16,19.15,48.15,48.08
29.36,53.08,19.08,48.08,48
29.39,53.01,19,48,48
33.61,45.85,19,48,46
29.89,54.95,20,46,45
30.13,54.84,20,45,45
30.13,54.84,20,45,45
30.13,54.84,20,45,45
30.13,54.84,20,45,44
30.3,62.31,22,44,44
29.77,62.59,22,44,44
30.45,58.32,22,44,42
30.58,56.68,22,42,41.88
29.96,56.92,21.62,41.88,41.75
29.34,57.16,21.25,41.75,41.62
28.72,57.4,20.88,41.62,41.5
28.1,57.64,20.5,41.5,41.38
27.48,57.88,20.12,41.38,41.25
26.86,58.11,19.75,41.25,41.12
26.24,58.34,19.38,41.12,41
25.62,58.58,19,41,41
30.92,47.08,18,41,42
30.5,46.25,18,42,42
29.48,47.25,18,42,42
26.95,56.76,18,42,44
29.95,55.67,18,44,44
30.59,55.6,19,44,45
29.2,57.17,20,45,46
31.27,51.75,20,46,44
28.98,57.51,20,44,46
30.01,57.06,20,46,46
30.95,54.27,21,46,46
30.95,54.27,21,46,44
29.76,54.19,22,44,45
28.75,58.14,22,45,47
28.65,58.63,22,47,47
28.65,58.63,22,47,46.96
28.69,58.48,21.95,46.96,46.92
28.73,58.33,21.9,46.92,46.88
28.77,58.18,21.85,46.88,46.84
28.81,58.03,21.8,46.84,46.8
28.85,57.88,21.75,46.8,46.76
28.89,57.73,21.7,46.76,46.72
28.93,57.58,21.65,46.72,46.68
28.97,57.43,21.6,46.68,46.64
29,57.28,21.55,46.64,46.6
29.04,57.13,21.5,46.6,46.56
29.08,56.98,21.45,46.56,46.52
29.11,56.83,21.4,46.52,46.49
29.14,56.68,21.35,46.49,46.45
29.18,56.53,21.3,46.45,46.42
29.22,56.38,21.25,46.42,46.38
29.25,56.23,21.2,46.38,46.35
29.28,56.08,21.15,46.35,46.31
29.32,55.93,21.1,46.31,46.28
29.36,55.78,21.05,46.28,46.24
29.39,55.63,21,46.24,46.21
29.42,55.48,20.95,46.21,46.17
29.46,55.33,20.9,46.17,46.14
29.5,55.18,20.85,46.14,46.1
29.53,55.03,20.8,46.1,46.07
29.56,54.88,20.75,46.07,46.03
29.6,54.73,20.7,46.03,46
29.64,54.58,20.65,46,45.96
29.67,54.43,20.6,45.96,45.92
29.7,54.28,20.55,45.92,45.89
29.74,54.13,20.5,45.89,45.86
29.78,53.98,20.45,45.86,45.82
29.81,53.82,20.4,45.82,45.78
29.84,53.66,20.35,45.78,45.75
29.88,53.51,20.3,45.75,45.72
29.92,53.36,20.25,45.72,45.68
29.95,53.2,20.2,45.68,45.64
29.98,53.04,20.15,45.64,45.61
30.02,52.89,20.1,45.61,45.58
30.06,52.74,20.05,45.58,45.54
30.09,52.58,20,45.54,45.5
30.12,52.42,19.95,45.5,45.47
30.16,52.27,19.9,45.47,45.44
30.2,52.12,19.85,45.44,45.4
30.23,51.96,19.8,45.4,45.36
30.26,51.8,19.76,45.36,45.33
30.3,51.65,19.71,45.33,45.3
30.34,51.5,19.66,45.3,45.26
30.37,51.34,19.62,45.26,45.22
30.4,51.18,19.58,45.22,45.19
30.44,51.03,19.53,45.19,45.16
30.48,50.88,19.48,45.16,45.12
30.51,50.72,19.44,45.12,45.08
30.54,50.56,19.4,45.08,45.05
30.58,50.41,19.35,45.05,45.02
30.62,50.26,19.3,45.02,44.98
30.65,50.1,19.26,44.98,44.94
30.68,49.94,19.22,44.94,44.91
30.72,49.79,19.17,44.91,44.88
30.76,49.64,19.12,44.88,44.84
30.79,49.48,19.08,44.84,44.81
30.82,49.32,19.03,44.81,44.77
30.86,49.17,18.99,44.77,44.74
30.9,49.02,18.94,44.74,44.7
30.93,48.86,18.9,44.7,44.67
30.96,48.7,18.85,44.67,44.63
31,48.55,18.81,44.63,44.6
31.04,48.4,18.76,44.6,44.56
31.07,48.24,18.72,44.56,44.53
31.1,48.08,18.67,44.53,44.49
31.14,47.93,18.63,44.49,44.46
31.18,47.78,18.58,44.46,44.42
31.21,47.62,18.54,44.42,44.39
31.24,47.46,18.49,44.39,44.35
31.28,47.31,18.45,44.35,44.32
31.32,47.16,18.4,44.32,44.28
31.35,47,18.36,44.28,44.24
31.38,46.84,18.31,44.24,44.21
31.42,46.69,18.27,44.21,44.18
31.46,46.54,18.23,44.18,44.14
31.49,46.38,18.18,44.14,44.1
31.52,46.22,18.13,44.1,44.07
31.56,46.07,18.09,44.07,44.04
31.6,45.92,18.05,44.04,44
31.63,45.76,18,44,45
31.32,48.9,18.5,45,46
31.02,52.03,19,46,46
31.07,51.57,20,46,47
32.53,49.17,21,47,47
32.24,49.23,23,47,46.5
31.04,50.25,23,46.5,46
29.83,51.27,23,46,47
30.57,50.05,23,47,47
30.57,50.05,23,47,46
32.5,46.45,22,46,45
34.44,42.85,21,45,44
34.1,43,21,44,44
33.87,43.5,21.04,44,44
33.64,44,21.08,44,44
33.41,44.5,21.12,44,44
33.18,45,21.16,44,44
32.95,45.5,21.2,44,44
32.72,46,21.24,44,44
32.49,46.5,21.28,44,44
32.26,47,21.32,44,44
32.03,47.5,21.36,44,44
31.8,48,21.4,44,44
31.57,48.5,21.44,44,44
31.34,49,21.48,44,44
31.11,49.5,21.52,44,44
30.88,50,21.56,44,44
30.65,50.5,21.6,44,44
30.42,51,21.64,44,44
30.19,51.5,21.68,44,44
29.96,52,21.73,44,44
29.73,52.5,21.78,44,44
29.5,53,21.82,44,44
29.27,53.5,21.86,44,44
29.04,54,21.91,44,44
28.8,54.5,21.96,44,44
28.57,55.01,22,44,43.75
28.61,55.02,21.75,43.75,43.5
28.65,55.03,21.5,43.5,43.25
28.69,55.04,21.25,43.25,43
28.73,55.04,21,43,42.75
28.77,55.04,20.75,42.75,42.5
28.81,55.05,20.5,42.5,42.25
28.85,55.06,20.25,42.25,42
28.9,55.06,20,42,42
32.39,48.11,20,42,44
33.53,45.47,20,44,44
32.58,46.73,20,44,42
33.79,45.31,20,42,43
35.9,43.27,20.5,43,44
38.01,41.23,21,44,45
34.06,47.47,21,45,44
35.27,45.81,22,44,46
34.69,53.83,23,46,46
32.46,60.06,23,46,46
32.46,60.06,23,46,44
30.81,58.73,23,44,44
30.76,58.24,23,44,44
29.38,60.32,22,44,47
28.82,61.77,22,47,42
28.49,62.02,22,42,39.53
29.67,58.32,22.49,39.53,37.06
30.84,54.62,22.98,37.06,34.59
32.02,50.92,23.47,34.59,32.12
33.2,47.22,23.96,32.12,29.66
